,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
69637,lsmdc0049_Hannah_and_her_sisters-68924,19899,"The camera moves to a blushing someone, following him now as he walks across the room. As someone speaks, someone","The camera moves to a blushing someone, following him now as he walks across the room.","As someone speaks, someone",gold,walks up to an armchair using head of his hand.,seems momentarily lost his workout.,parts a hanging curtain against the wall to reveal a stereo and some records.,sees the older man staring intently at someone from behind a pillar.,2
46159,anetv_DU2hdNIS2WI,19279,He lifts the weight and first brings it parallel to his shoulders. He then,He lifts the weight and first brings it parallel to his shoulders.,He then,gold,lifts it completely over his head with his arms extended.,raises the weight over his head and shoots it high into the air.,does a good weight lifting the lifting weight.,lifts his head and slides it off s chest wings.,0
48668,anetv_ggw-70xi0dA,16802,"A man with a red jacket and grey pants is walking across a slack line in the middle of the mountains. As he is trying to tight rope, he",A man with a red jacket and grey pants is walking across a slack line in the middle of the mountains.,"As he is trying to tight rope, he",gold,hesitates a time to get back of the rope that is waving around.,gets hurt and walks to the rope.,lifts the rope with all his hands as he jumps.,falls over and is never able to stand up.,3
47066,anetv_C1djGYqkhYI,15557,"As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop. The rest of the young girl's performance is a set of twirls and twist and then she","As the young lady continues her performance, she twirls the baton between her legs and over her head, catches it and does a gallop.",The rest of the young girl's performance is a set of twirls and twist and then she,gold,runs off the floor to finish her performance.,lands on the beam and celebrates.,continues jumping on her hand gracefully.,layered and kiss him.,0
13963,anetv_qI_Bo0D6p7I,9559,At one point she throws the hula hoop accidentally but picks it back up and continues spinning with it. In the end she,At one point she throws the hula hoop accidentally but picks it back up and continues spinning with it.,In the end she,gold,falls to the ground with the hoop still in her hands.,starts by holding a baton and throwing it for the distance.,shows his almost perfect power.,"finishes the hula, gets so happy and tips the ball on the rail.",0
3431,anetv_ueDoskgg2yw,11932,There are some men shaving with Gillette shaving gel. There,There are some men shaving with Gillette shaving gel.,There,gold,show a specialist start shaving his face.,are playing a game of tug of war in front of an audience.,'s a model whose face is completely lathered with shaving gel and he is using a blue razor to shave his face.,"in a gym, a woman is cleaned up in a kitchen.",2
51433,anetv_dSww-S8qyCM,9918,A bunch of girls do long jumps. The jumps,A bunch of girls do long jumps.,The jumps,gold,moves and jumps on the other side.,switch then splits and splits in a large stadium.,are measured by men.,five times and takes out and performs his art routine.,2
27183,lsmdc3047_LIFE_OF_PI-22646,4672,"Someone swims to the center, then rolls over and backstrokes beneath the sun. He","Someone swims to the center, then rolls over and backstrokes beneath the sun.",He,gold,swims to the edge of the pond.,lands on his belly under a deep red sea.,looks up and peers down at the water below.,slides out of view.,0
68065,anetv_umi5d_a6bfc,5408,A person sitting next to a bike demonstrates how to remove and replace a bike chain using a small tool. The video,A person sitting next to a bike demonstrates how to remove and replace a bike chain using a small tool.,The video,gold,ends with the girl adding clear tape to the carpet.,ends with an inside.,ends with the closing graphics and credits shown on the screen.,cuts to the man working at the information repair tool.,2
9824,lsmdc3034_IDES_OF_MARCH-3066,17575,The nurse then hands her another bottle of pills. Someone,The nurse then hands her another bottle of pills.,Someone,gold,"stirs around in a file, then glances at the tv's display screen.",walks away with the twins in bed.,hefts her hands to the neck of a bandage.,nods again with a grave frown.,3
71004,anetv__Af_9cK5x4E,1250,The camera pans above lush and green terrain over what looks like a mountain range. A man,The camera pans above lush and green terrain over what looks like a mountain range.,A man,gold,catapults down a track with a long pole onto the structure.,stretches his legs out.,is riding a motorcycle in fast motion.,is shown covered in sweat and then jumping across various hills performing stunts on a dirt bike.,3
30547,anetv__QyQSAtMdj8,3443,Shots of a snowy mountain are shown as well as people riding up the mountain and waving to the camera. Several shots,Shots of a snowy mountain are shown as well as people riding up the mountain and waving to the camera.,Several shots,gold,are then shown of people riding down the mountain and zooming in on their faces.,are seen of a kite taking them off and looking off into the distance.,are shown of people riding around on bikes as well as running around a mountain.,are shown of people riding snowboards backwards as well as riding down a mountain on a mountain.,0
63686,lsmdc3073_THE_GUILT_TRIP-34749,3997,"Someone taps her fingertips together, looking around the room. She","Someone taps her fingertips together, looking around the room.",She,gold,"sneaks out, following him then passes door.",illuminates an old house with wooden floors.,"peers down the narrow hallway at someone, who sits beside him on the bed.","edges past someone, and places the water bottle on a table beside him, then backs away.",3
47288,anetv_r5mwKEhEsHA,10184,She lift the contact lenses case and continue talking. She,She lift the contact lenses case and continue talking.,She,gold,takes a sip of the lenses and inserts the contact lens into the glass.,lifts again the lenses case while her finger is touching the liquid solution in the case.,looks on how to garnish it.,grabs the vial and a hose to sweep it out.,1
25316,anetv_fs-goyuhTi8,12537,The woman hugged the yellow pinata. The woman,The woman hugged the yellow pinata.,The woman,gold,started to extend the swing creaks and talked.,finishes playing while another try to eat the table.,walked over to the other girl and about to hand her the stick.,lobs the ball back and fourth.,2
8937,lsmdc3089_XMEN_FIRST_CLASS-43594,14886,Someone sighs and someone laughs. Someone,Someone sighs and someone laughs.,Someone,gen,nods with a thoughtful smile.,asked to comment and makes a beverage.,carries someone down the back of someone's wagoneer.,faces the doll.,0
14375,lsmdc1053_Harry_Potter_and_the_philosophers_stone-95906,987,"The Slytherin team fly out in their green cloaks. Standing around the oval arena, the spectators",The Slytherin team fly out in their green cloaks.,"Standing around the oval arena, the spectators",gold,watch the cotta profound march away.,cheer on their teams.,watch as a long pendant light shines from the ships's army.,watch someone as he looks past awkwardly and exits the opposite.,1
47376,lsmdc1026_Legion-5423,11441,Someone tilts his head to one side. Someone,Someone tilts his head to one side.,Someone,gen,"whips around on someone's shoulder, and places his hand on someone's forehead.",watches an astonished smile as he walks away.,checks his clock and holds up his hand.,"lifts his knitted brow, then faces him.",2
56008,lsmdc1020_Crazy_Stupid_Love-81535,10165,She has a clutch bag in one hand and a bunch of flowers in the other. She,She has a clutch bag in one hand and a bunch of flowers in the other.,She,gold,tosses the flowers on a chest of drawers in the hall.,starts counting the combs and how to rub names in numbers.,drops the dirt box on the snow covered form.,tries to push her husband a fast way.,0
14149,lsmdc3016_CHASING_MAVERICKS-6937,14169,"As someone slows down, he turns to see the veterans sitting on their boards smiling. One","As someone slows down, he turns to see the veterans sitting on their boards smiling.",One,gen,pulls someone the shot.,walks around an outdoor gallery.,starts to execute his buoy as he clings to the tiger.,puts on his goggles as he imagines an airplane flying over a small aircraft.,3
55564,anetv_soHEsBIljbI,5919,She is then shown wiping the shoe down with a cleaning solution. She,She is then shown wiping the shoe down with a cleaning solution.,She,gold,takes off the nozzle of water.,begins spraying down the leaves with the rag and uses them on his hands.,sits down near the end.,shows the shoe close up after she is done.,3
44002,lsmdc3070_THE_CALL-32988,18789,She watches him press his face into the hair and inhale deeply. Someone,She watches him press his face into the hair and inhale deeply.,Someone,gold,puts her arms around his neck while they measure the distance.,looks up to see someone's ghostly face.,"looks over the prisoner's clock, and sees someone looking away.",falls back on the bed with the scalp on top of his face.,3
